"sample_key","cluster_dtw","Date","Sample_ID","MouseID","Sex","Age","Genotype","Replicate","Average_diameter..um.","C.s.a..um.squared.","C.s.a..mm.squared.","Date_ID","FileName","exclusion_reason"
"210412.MRC.Sample.C3Data",3,"12.04.2021","C","114.3","F","8wks","oim Hom",3,102.244,8210.42323,0.008210423,210412,"210412 MRC Sample C3Data.csv",NA
"210412.MRC.Sample.C6Data",3,"12.04.2021","C","114.3","F","8wks","oim Hom",6,97.913,7529.577296,0.007529577,210412,"210412 MRC Sample C6Data.csv",NA
"210412.MRC.Sample.C7Data",4,"12.04.2021","C","114.3","F","8wks","oim Hom",7,87.541,6018.841241,0.006018841,210412,"210412 MRC Sample C7Data.csv",NA
"210412.MRC.Sample.C8Data",3,"12.04.2021","C","114.3","F","8wks","oim Hom",8,129.012,13072.24254,0.013072243,210412,"210412 MRC Sample C8Data.csv",NA
"210413.MRC.Sample.A1Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",1,86.59333333,5889.233812,0.005889234,210413,"210413 MRC Sample A1Data.csv",NA
"210413.MRC.Sample.A10Data",4,"13.04.2021","A","108.1","F","8wks","oim Wt",10,115.2663333,10435.05729,0.010435057,210413,"210413 MRC Sample A10Data.csv",NA
"210413.MRC.Sample.A11Data",4,"13.04.2021","A","108.1","F","8wks","oim Wt",11,134.1183333,14127.52801,0.014127528,210413,"210413 MRC Sample A11Data.csv",NA
"210413.MRC.Sample.A2Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",2,99.64033333,7797.586925,0.007797587,210413,"210413 MRC Sample A2Data.csv",NA
"210413.MRC.Sample.A3Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",3,90.289,6402.647133,0.006402647,210413,"210413 MRC Sample A3Data.csv",NA
"210413.MRC.Sample.A4Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",4,101.5203333,8094.61041,0.00809461,210413,"210413 MRC Sample A4Data.csv",NA
"210413.MRC.Sample.A6Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",6,89.33566667,6268.153838,0.006268154,210413,"210413 MRC Sample A6Data.csv",NA
"210413.MRC.Sample.A7Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",7,112.7003333,9975.628843,0.009975629,210413,"210413 MRC Sample A7Data.csv",NA
"210413.MRC.Sample.A8Data",3,"13.04.2021","A","108.1","F","8wks","oim Wt",8,111.848,9825.311471,0.009825311,210413,"210413 MRC Sample A8Data.csv",NA
"210413.MRC.Sample.A9Data",4,"13.04.2021","A","108.1","F","8wks","oim Wt",9,106.5396667,8914.819389,0.008914819,210413,"210413 MRC Sample A9Data.csv",NA
"210413.MRC.Sample.B1Data",3,"13.04.2021","B","116.1","F","8wks","oim Het",1,98.877,7678.571695,0.007678572,210413,"210413 MRC Sample B1Data.csv",NA
"210413.MRC.Sample.B10Data",4,"13.04.2021","B","116.1","F","8wks","oim Het",10,76.10033333,4548.445543,0.004548446,210413,"210413 MRC Sample B10Data.csv",NA
"210413.MRC.Sample.B2Data",4,"13.04.2021","B","116.1","F","8wks","oim Het",2,84.08933333,5553.562964,0.005553563,210413,"210413 MRC Sample B2Data.csv",NA
"210413.MRC.Sample.B3Data",4,"13.04.2021","B","116.1","F","8wks","oim Het",3,73.43066667,4234.916226,0.004234916,210413,"210413 MRC Sample B3Data.csv",NA
"210413.MRC.Sample.B4Data",3,"13.04.2021","B","116.1","F","8wks","oim Het",4,89.41233333,6278.916944,0.006278917,210413,"210413 MRC Sample B4Data.csv",NA
"210413.MRC.Sample.B6Data",3,"13.04.2021","B","116.1","F","8wks","oim Het",6,70.30233333,3881.766076,0.003881766,210413,"210413 MRC Sample B6Data.csv",NA
"210413.MRC.Sample.B7Data",3,"13.04.2021","B","116.1","F","8wks","oim Het",7,66.17766667,3439.638349,0.003439638,210413,"210413 MRC Sample B7Data.csv",NA
"210413.MRC.Sample.B9Data",3,"13.04.2021","B","116.1","F","8wks","oim Het",9,63.38366667,3155.32864,0.003155329,210413,"210413 MRC Sample B9Data.csv",NA
"210413.MRC.Sample.C2Data",3,"13.04.2021","C","152.2","F","8wks","oim Hom",2,66.781,3502.641729,0.003502642,210413,"210413 MRC Sample C2Data.csv",NA
"210413.MRC.Sample.C5Data",3,"13.04.2021","C","152.2","F","8wks","oim Hom",5,93.96433333,6934.512814,0.006934513,210413,"210413 MRC Sample C5Data.csv",NA
"210413.MRC.Sample.C8Data",3,"13.04.2021","C","152.2","F","8wks","oim Hom",8,90.01966667,6364.505737,0.006364506,210413,"210413 MRC Sample C8Data.csv",NA
"210415.MRC.Sample.A1Data",1,"15.04.2021","A","108.2","F","8wks","oim Wt",1,143.835,16248.71558,0.016248716,210415,"210415 MRC Sample A1Data.csv",NA
"210415.MRC.Sample.A2Data",4,"15.04.2021","A","108.2","F","8wks","oim Wt",2,172.8923333,23476.93255,0.023476933,210415,"210415 MRC Sample A2Data.csv",NA
